,weekday,hour,minute,Average
559,4,21,10,3.112660919699489
560,4,21,20,3.02800556953727
561,4,21,30,3.086668827945001
562,4,21,40,3.616666666666667
563,4,21,50,3.6833333333333327
564,4,22,0,3.58832720879023
565,4,22,10,3.1891723056495387
566,4,22,20,3.0936610139831004
567,4,22,30,3.1016705972877325
568,4,22,40,3.217998702956342
569,4,22,50,3.5265004033238427
570,4,23,0,3.5260017418484724
571,4,23,10,4.217998847479583
572,4,23,20,3.9013333333333335
573,4,23,30,3.2208304891487956
574,4,23,40,3.2588370280293524
575,4,23,50,3.6378269667727756
576,5,0,0,3.5479977422667117
577,5,0,10,3.8188384310846772
578,5,0,20,3.854498958533101
579,5,0,30,4.359500556086296
580,5,0,40,3.642831277980555
581,5,0,50,3.8846655196595834
582,5,1,0,3.602000014295972
583,5,1,10,4.01267237565227
584,5,1,20,4.5633333333333335
585,5,1,30,4.536833819668472
586,5,1,40,3.92533283931537
587,5,1,50,4.138832700666481
588,5,2,0,4.118166666666666
589,5,2,10,3.977159758688748
590,5,2,20,4.328338958427085
591,5,2,30,4.638
592,5,2,40,4.482833333333334
593,5,2,50,5.230333333333333
594,5,3,0,4.570493036227174
595,5,3,10,4.253003594803889
596,5,3,20,3.7163272088281927
597,5,3,30,3.4571701252738434
598,5,3,40,4.0138333333333325
599,5,3,50,3.827492472570831
600,5,4,0,4.492335411373242
601,5,4,10,4.460839108947363
602,5,4,20,3.988324758669303
603,5,4,30,3.8501657418517126
604,5,4,40,3.8958376864188438
605,5,4,50,3.6388312224208326
606,5,5,0,4.04583232799037
607,5,5,10,4.17266873680875
608,5,5,20,3.679166666666667
609,5,5,30,3.4558283556385163
610,5,5,40,3.4933386667555566
611,5,5,50,4.341333333333333
612,5,6,0,3.6718362367281956
613,5,6,10,4.103835939387315
614,5,6,20,4.075996111661757
615,5,6,30,4.574500883578796
616,5,6,40,4.238005856125557
617,5,6,50,3.5293333890578706
618,5,7,0,3.5541652031818045
619,5,7,10,3.4183337502138884
620,5,7,20,3.6113308974470826
621,5,7,30,4.047332734041573
622,5,7,40,4.411834250215927
623,5,7,50,4.427825978421572
624,5,8,0,3.880839722785372
625,5,8,10,3.7553318752018052
626,5,8,20,3.4590033392729636
627,5,8,30,6.354666531247176
628,5,8,40,4.353166666666667
629,5,8,50,4.532166666666667
630,5,9,0,3.6641663752229165
631,5,9,10,3.5531650920392126
632,5,9,20,3.695830883550555
633,5,9,30,4.043833333333334
634,5,9,40,3.802166666666666
635,5,9,50,4.164161125308285
636,5,10,0,3.9916685393543516
637,5,10,10,4.525511509201901
638,5,10,20,3.74032497551847
639,5,10,30,3.738671464286159
640,5,10,40,3.3581728252646768
641,5,10,50,3.3983366920851394
642,5,11,0,3.696666311520185
643,5,11,10,3.681168194658519
644,5,11,20,4.157500000000001
645,5,11,30,4.129664605804258
646,5,11,40,3.636
647,5,11,50,3.575333972415926
648,5,12,0,3.4696610780561095
649,5,12,10,3.739672409041251
650,5,12,20,3.8881653143421753
651,5,12,30,3.994669014321899
652,5,12,40,3.4018319029675452
653,5,12,50,3.167003047587362
654,5,13,0,3.6163323696262495
655,5,13,10,3.411333333333333
656,5,13,20,3.365498661297778
657,5,13,30,3.7938334112987038
658,5,13,40,3.7006666666666668
659,5,13,50,4.2211680280200925
660,5,14,0,3.604500466861667
661,5,14,10,3.4256626338150915
662,5,14,20,3.3066739310036595
663,5,14,30,3.3428333333333327
664,5,14,40,3.505833333333334
665,5,14,50,3.609833333333333
666,5,15,0,4.111165561322315
667,5,15,10,4.047165819665509
668,5,15,20,3.2488293892401843
669,5,15,30,3.1873282169465726
670,5,15,40,3.022172605792224
671,5,15,50,3.1791666666666667
672,5,16,0,3.652166666666667
673,5,16,10,3.721167194628889
674,5,16,20,4.260835111347222
675,5,16,30,3.382833333333333
676,5,16,40,3.8163333333333336
677,5,16,50,3.1716619306344893
678,5,17,0,3.67833027562736
679,5,17,10,3.7330085088336604
680,5,17,20,3.888333333333334
681,5,17,30,3.0998265892889796
682,5,17,40,3.038504844709446
683,5,17,50,2.9299999999999997
684,5,18,0,3.019833333333333
685,5,18,10,3.240666666666667
686,5,18,20,3.4564999999999997
687,5,18,30,3.708833333333333
688,5,18,40,3.920838588393555
689,5,18,50,3.003
690,5,19,0,3.0936666666666666
691,5,19,10,3.0991666666666666
692,5,19,20,3.082
693,5,19,30,3.5015
694,5,19,40,3.568333333333334
695,5,19,50,3.950333333333333
696,5,20,0,3.242000161471111
697,5,20,10,3.2651686281608336
698,5,20,20,3.0491666666666664
699,5,20,30,3.302166666666666
